127.0.0.1 - - [08/Mar/2019:16:37:11 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&_ajax_nonce=981835c6a7&1552063739965 HTTP/1.0" 200 1 "http://portfolio-site-plugin.local/wp-admin/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:11 +0000] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.0" 200 881 "http://portfolio-site-plugin.local/wp-admin/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:35 +0000] "GET /wp-admin/edit.php HTTP/1.0" 200 48061 "http://portfolio-site-plugin.local/wp-admin/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:35 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,utils&ver=5.1 HTTP/1.0" 200 109102 "http://portfolio-site-plugin.local/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:35 +0000] "GET /wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=5.1 HTTP/1.0" 200 339095 "http://portfolio-site-plugin.local/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:35 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,jquery-ui-core,jquery-ui-widget,jquery-ui-position,jquery-ui-menu,wp-a11y,jquery-ui-autocomplete,ta&load%5B%5D=gs-suggest,inline-edit-post&ver=5.1 HTTP/1.0" 200 69205 "http://portfolio-site-plugin.local/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:35 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 47 "http://portfolio-site-plugin.local/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:36 +0000] "GET /wp-admin/post.php?post=1&action=edit HTTP/1.0" 200 283476 "http://portfolio-site-plugin.local/wp-admin/edit.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:36 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=jquery-core,jquery-migrate,utils,moxiejs,plupload&ver=5.1 HTTP/1.0" 200 213988 "http://portfolio-site-plugin.local/wp-admin/post.php?post=1&action=edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:36 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar&ver=5.1 HTTP/1.0" 200 23724 "http://portfolio-site-plugin.local/wp-admin/post.php?post=1&action=edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:36 +0000] "GET /wp-admin/load-styles.php?c=1&dir=ltr&load%5B%5D=dashicons,admin-bar,buttons,media-views,editor-buttons,wp-components,wp-nux,wp-editor,wp-block-library,wp-block-library-theme,wp&load%5B%5D=-edit-blocks,wp-edit-post,wp-format-library,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-&load%5B%5D=menus,wp-pointer,widgets,site-icon,l10n,wp-auth-check&ver=5.1 HTTP/1.0" 200 669873 "http://portfolio-site-plugin.local/wp-admin/post.php?post=1&action=edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:37 +0000] "GET /wp-json/wp/v2/taxonomies?per_page=100&context=edit&_locale=user HTTP/1.0" 200 2840 "http://portfolio-site-plugin.local/wp-admin/post.php?post=1&action=edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:37 +0000] "GET /wp-json/wp/v2/users/?who=authors&per_page=100&_locale=user HTTP/1.0" 200 592 "http://portfolio-site-plugin.local/wp-admin/post.php?post=1&action=edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:39 +0000] "GET /wp-json/wp/v2/types/wp_block?_locale=user HTTP/1.0" 200 372 "http://portfolio-site-plugin.local/wp-admin/post.php?post=1&action=edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:39 +0000] "GET /wp-json/wp/v2/blocks?per_page=100&_locale=user HTTP/1.0" 200 2 "http://portfolio-site-plugin.local/wp-admin/post.php?post=1&action=edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:37:59 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 1 "http://portfolio-site-plugin.local/wp-admin/post.php?post=1&action=edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:38:01 +0000] "GET /wp-admin/plugin-editor.php HTTP/1.0" 200 22605 "http://portfolio-site-plugin.local/wp-admin/post.php?post=1&action=edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:38:01 +0000] "GET /wp-admin/load-scripts.php?c=1&load%5B%5D=hoverIntent,common,admin-bar,svg-painter&ver=5.1 HTTP/1.0" 200 29247 "http://portfolio-site-plugin.local/wp-admin/plugin-editor.php" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
127.0.0.1 - - [08/Mar/2019:16:38:01 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:65.0) Gecko/20100101 Firefox/65.0"
